INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,SMILES,INCHI_STRING,DTXCID
29923-31-7,CASRN,DTXSID90885464,"L-Glutamic acid, N-(1-oxododecyl)-, sodium salt (1:1)",29923-31-7,IWIUXJGIDSGWDN-UQKRIMTDSA-M,[Na+].CCCCCCCCCCCC(=O)N[C@@H](CCC(O)=O)C([O-])=O,"InChI=1S/C17H31NO5.Na/c1-2-3-4-5-6-7-8-9-10-11-15(19)18-14(17(22)23)12-13-16(20)21;/h14H,2-13H2,1H3,(H,18,19)(H,20,21)(H,22,23);/q;+1/p-1/t14-;/m0./s1
",DTXCID801024843
60996-20-5,CASRN,DTXSID501335776,Potassium cryolite,60996-20-5,N/A,N/A,N/A,N/A
74504-65-7,CASRN,DTXSID901019669,"1,2,3-Propanetriol homopolymer decanoate",74504-65-7,N/A,N/A,N/A,N/A
611-19-8,CASRN,DTXSID3027241,2-Chlorobenzyl chloride,611-19-8,BASMANVIUSSIIM-UHFFFAOYSA-N,ClCC1=CC=CC=C1Cl,"InChI=1S/C7H6Cl2/c8-5-6-3-1-2-4-7(6)9/h1-4H,5H2
",DTXCID707241
22221-10-9,CASRN,DTXSID7058333,"Hexanoic acid, 2-ethyl-, copper salt (1:?)",22221-10-9,N/A,N/A,N/A,N/A
7722-88-5,CASRN,DTXSID9042465,Tetrasodium pyrophosphate,7722-88-5,FQENQNTWSFEDLI-UHFFFAOYSA-J,[Na+].[Na+].[Na+].[Na+].[O-]P([O-])(=O)OP([O-])([O-])=O,"InChI=1S/4Na.H4O7P2/c;;;;1-8(2,3)7-9(4,5)6/h;;;;(H2,1,2,3)(H2,4,5,6)/q4*+1;/p-4
",DTXCID7022465
52829-07-9,CASRN,DTXSID0028030,"Bis(2,2,6,6-tetramethyl-4-piperidyl) sebacate",52829-07-9,XITRBUPOXXBIJN-UHFFFAOYSA-N,CC1(C)CC(CC(C)(C)N1)OC(=O)CCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1,"InChI=1S/C28H52N2O4/c1-25(2)17-21(18-26(3,4)29-25)33-23(31)15-13-11-9-10-12-14-16-24(32)34-22-19-27(5,6)30-28(7,8)20-22/h21-22,29-30H,9-20H2,1-8H3
",DTXCID708030
20650-07-1,CASRN,DTXSID10718987,Ethyl 1-[(4-fluorophenyl)carbamoyl]cyclopropane-1-carboxylate,20650-07-1,FJMLTTAPGNFDSI-UHFFFAOYSA-N,CCOC(=O)C1(CC1)C(=O)NC1=CC=C(F)C=C1,"InChI=1S/C13H14FNO3/c1-2-18-12(17)13(7-8-13)11(16)15-10-5-3-9(14)4-6-10/h3-6H,2,7-8H2,1H3,(H,15,16)
",DTXCID60669733
68953-64-0,CASRN,DTXSID501012130,"1-Propanaminium, 3-amino-N-(2-hydroxyethyl)-N,N-dimethyl-, N-mink-oil acyl derivs., chlorides",68953-64-0,N/A,N/A,N/A,N/A
141914-99-0,CASRN,DTXSID70888973,"1H-Benz[e]indolium, 1,1,2,3-tetramethyl-, 4-methylbenzenesulfonate (1:1)",141914-99-0,COFNAIZOYLYLGQ-UHFFFAOYSA-M,CC1=CC=C(C=C1)S([O-])(=O)=O.CC1=[N+](C)C2=C(C3=C(C=CC=C3)C=C2)C1(C)C,"InChI=1S/C16H18N.C7H8O3S/c1-11-16(2,3)15-13-8-6-5-7-12(13)9-10-14(15)17(11)4;1-6-2-4-7(5-3-6)11(8,9)10/h5-10H,1-4H3;2-5H,1H3,(H,8,9,10)/q+1;/p-1
",DTXCID401028243
429-06-1,CASRN,DTXSID50883380,"Ethanaminium, N,N,N-triethyl-, tetrafluoroborate(1-) (1:1)",429-06-1,XJRAKUDXACGCHA-UHFFFAOYSA-N,F[B-](F)(F)F.CC[N+](CC)(CC)CC,"InChI=1S/C8H20N.BF4/c1-5-9(6-2,7-3)8-4;2-1(3,4)5/h5-8H2,1-4H3;/q+1;-1
",DTXCID101022915
84281-74-3,CASRN,DTXSID901023262,"1,3-Benzenediamine, coupled with diazotized m-phenylenediamine, acetates",84281-74-3,N/A,N/A,N/A,N/A
2269-22-9,CASRN,DTXSID3044386,"2-Butanol, aluminum salt",2269-22-9,WOZZOSDBXABUFO-UHFFFAOYSA-N,[Al+3].CCC(C)[O-].CCC(C)[O-].CCC(C)[O-],"InChI=1/3C4H9O.Al/c3*1-3-4(2)5;/h3*4H,3H2,1-2H3;/q3*-1;+3
",DTXCID1024386
56641-05-5,CASRN,DTXSID50891248,Polyethylene glycol phenyl ether acrylate,56641-05-5,N/A,"C=CC(=O)OCCOC1=CC=CC=C1 |c:10,12,t:8,lp:3:2,4:2,7:2,Sg:n:6,5,4::ht|","InChI=1S/C11H12O3/c1-2-11(12)14-9-8-13-10-6-4-3-5-7-10/h2-7H,1,8-9H2
",DTXCID301765650
5187-23-5,CASRN,DTXSID0044949,"(5-Ethyl-1,3-dioxan-5-yl)methanol",5187-23-5,BGFBWRWYROQISE-UHFFFAOYSA-N,CCC1(CO)COCOC1,"InChI=1S/C7H14O3/c1-2-7(3-8)4-9-6-10-5-7/h8H,2-6H2,1H3
",DTXCID8024949
127087-87-0,CASRN,DTXSID0049733,"Poly(oxy-1,2-ethanediyl),alpha-(4-nonylphenyl)-omega-hydroxy-,branched",127087-87-0,N/A,N/A,N/A,N/A
99-93-4,CASRN,DTXSID0029133,4-Hydroxyacetophenone,99-93-4,TXFPEBPIARQUIG-UHFFFAOYSA-N,CC(=O)C1=CC=C(O)C=C1,"InChI=1S/C8H8O2/c1-6(9)7-2-4-8(10)5-3-7/h2-5,10H,1H3
",DTXCID209133
78014-16-1,CASRN,DTXSID50999273,"N~1~,N~1~-Dimethyl-N~3~-(2,2,6,6-tetramethylpiperidin-4-yl)propane-1,3-diamine",78014-16-1,QYNFXDVIHNENBG-UHFFFAOYSA-N,CN(C)CCCNC1CC(C)(C)NC(C)(C)C1,"InChI=1S/C14H31N3/c1-13(2)10-12(11-14(3,4)16-13)15-8-7-9-17(5)6/h12,15-16H,7-11H2,1-6H3
",DTXCID901426248
83950-14-5,CASRN,DTXSID70897449,4-(2-(4-(Benzylmethyl(ethyl)amino)phenyl)vinyl)-1-(2-hydroxyethyl)pyridinium acetate,83950-14-5,FYHABCCBCYOHGI-UHFFFAOYSA-M,CC([O-])=O.CCN(CC1=CC=CC=C1)C1=CC=C(C=CC2=CC=[N+](CCO)C=C2)C=C1,"InChI=1S/C24H27N2O.C2H4O2/c1-2-26(20-23-6-4-3-5-7-23)24-12-10-21(11-13-24)8-9-22-14-16-25(17-15-22)18-19-27;1-2(3)4/h3-17,27H,2,18-20H2,1H3;1H3,(H,3,4)/q+1;/p-1
",DTXCID301326791
82338-76-9,CASRN,DTXSID801029948,"Bis((4-((4-(diethylamino)phenyl)(4-(ethylamino)-1-naphthyl)methylene)cyclohexa-2,5-dien-1-ylidene)diethylammonium) dicopper(1+) hexa(cyano-C)ferrate(4-)",82338-76-9,GPEFZYMYBMGLJD-UHFFFAOYSA-P,[Cu+].[Cu+].N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N.CCNC1=CC=C(C(C2=CC=C(C=C2)N(CC)CC)=C2C=CC(C=C2)=[N+](CC)CC)C2=CC=CC=C12.CCNC1=CC=C(C(C2=CC=C(C=C2)N(CC)CC)=C2C=CC(C=C2)=[N+](CC)CC)C2=CC=CC=C12,"InChI=1S/2C33H39N3.6CN.2Cu.Fe/c2*1-6-34-32-24-23-31(29-13-11-12-14-30(29)32)33(25-15-19-27(20-16-25)35(7-2)8-3)26-17-21-28(22-18-26)36(9-4)10-5;6*1-2;;;/h2*11-24H,6-10H2,1-5H3;;;;;;;;;/q;;;;;;;;2*+1;-4/p+2
",DTXCID901515124
32582-32-4,CASRN,DTXSID60885537,"1-Octadecanol, 2-tetradecyl-",32582-32-4,RTXVDAJGIYOHFY-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCC(CO)CCCCCCCCCCCCCC,"InChI=1/C32H66O/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32(31-33)29-27-25-23-21-19-16-14-12-10-8-6-4-2/h32-33H,3-31H2,1-2H3
",DTXCID301024905
537-01-9,CASRN,DTXSID7041758,Cerium carbonate,537-01-9,GHLITDDQOMIBFS-UHFFFAOYSA-H,[Ce+3].[Ce+3].[O-]C([O-])=O.[O-]C([O-])=O.[O-]C([O-])=O,"InChI=1S/3CH2O3.2Ce/c3*2-1(3)4;;/h3*(H2,2,3,4);;/q;;;2*+3/p-6
",DTXCID5021758
1512859-54-9,CASRN,DTXSID501020430,1512859-54-9 (name too long),1512859-54-9,TWQLYMUAFVULQL-UHFFFAOYSA-J,[Na+].[Na+].[Cu++].CCN(C1=CC(=CC=C1)S(=O)(=O)CCOS([O-])(=O)=O)C1=NC(NC2=C(C3=CC(=C(N=NC4=CC(OC)=C(OC)C=C4N=NC4=CC(=CC=C4[O-])S(O)(=O)=O)C([O-])=C3C=C2)S(O)(=O)=O)S([O-])(=O)=O)=NC(Cl)=N1,"InChI=1S/C37H34ClN9O19S5.Cu.2Na/c1-4-47(19-6-5-7-20(14-19)67(50,51)13-12-66-71(61,62)63)37-41-35(38)40-36(42-37)39-24-10-9-22-23(34(24)70(58,59)60)16-31(69(55,56)57)32(33(22)49)46-44-26-18-30(65-3)29(64-2)17-25(26)43-45-27-15-21(68(52,53)54)8-11-28(27)48;;;/h5-11,14-18,48-49H,4,12-13H2,1-3H3,(H,52,53,54)(H,55,56,57)(H,58,59,60)(H,61,62,63)(H,39,40,41,42);;;/q;+2;2*+1/p-4
",DTXCID501478209
117704-25-3,CASRN,DTXSID9048982,Doramectin,117704-25-3,QLFZZSKTJWDQOS-YDBLARSUSA-N,CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@H](C[C@@H]2OC)O[C@H]2[C@@H](C)\C=C\C=C3/CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O[C@H]5C[C@@H](C\C=C2/C)O[C@@]2(C5)O[C@H](C5CCCCC5)[C@@H](C)C=C2)[C@]34O)O[C@@H](C)[C@@H]1O,"InChI=1S/C50H74O14/c1-27-13-12-16-34-26-57-47-42(51)30(4)21-37(50(34,47)54)48(53)60-36-22-35(63-49(25-36)20-19-29(3)45(64-49)33-14-10-9-11-15-33)18-17-28(2)44(27)61-41-24-39(56-8)46(32(6)59-41)62-40-23-38(55-7)43(52)31(5)58-40/h12-13,16-17,19-21,27,29,31-33,35-47,51-52,54H,9-11,14-15,18,22-26H2,1-8H3/b13-12+,28-17+,34-16+/t27-,29-,31-,32-,35+,36-,37-,38-,39-,40-,41-,42+,43-,44-,45-,46-,47+,49+,50+/m0/s1
",DTXCID5028908
582-25-2,CASRN,DTXSID1027219,Potassium benzoate,582-25-2,XAEFZNCEHLXOMS-UHFFFAOYSA-M,[K+].[O-]C(=O)C1=CC=CC=C1,"InChI=1S/C7H6O2.K/c8-7(9)6-4-2-1-3-5-6;/h1-5H,(H,8,9);/q;+1/p-1
",DTXCID007219
68909-83-1,CASRN,DTXSID10101335,"Naphthalenesulfonic acid, butyl-, Me derivs., sodium salts",68909-83-1,N/A,N/A,N/A,N/A
1401065-88-0,CASRN,DTXSID10889166,"2-Cyclohexen-1-ol, 2,6-dimethyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-",1401065-88-0,MQEPGDOYYNNWSR-UHFFFAOYSA-N,CC1CC(C=C(C)C1O)C1CC=C(C)C1(C)C,"InChI=1/C16H26O/c1-10-8-13(9-11(2)15(10)17)14-7-6-12(3)16(14,4)5/h6,8,11,13-15,17H,7,9H2,1-5H3
",DTXCID501028434
92128-68-2,CASRN,DTXSID401036600,"Hydrocarbons, C5, ethylene-manuf.-by-product, hydrogenated",92128-68-2,N/A,N/A,N/A,N/A
14171-00-7,CASRN,DTXSID50884731,".beta.-Alanine, N-dodecyl-, compd. with 2,2',2''-nitrilotris[ethanol] (1:1)",14171-00-7,CVZYWFZBNHBFDS-UHFFFAOYSA-N,OCCN(CCO)CCO.CCCCCCCCCCCCNCCC(O)=O,"InChI=1S/C15H31NO2.C6H15NO3/c1-2-3-4-5-6-7-8-9-10-11-13-16-14-12-15(17)18;8-4-1-7(2-5-9)3-6-10/h16H,2-14H2,1H3,(H,17,18);8-10H,1-6H2
",DTXCID401024158
39290-78-3,CASRN,DTXSID2052786,Aluminum chloride hydroxide sulfate,39290-78-3,N/A,N/A,N/A,N/A
27247-96-7,CASRN,DTXSID1027928,2-Ethylhexyl nitrate,27247-96-7,NKRVGWFEFKCZAP-UHFFFAOYSA-N,CCCCC(CC)CO[N+]([O-])=O,"InChI=1/C8H17NO3/c1-3-5-6-8(4-2)7-12-9(10)11/h8H,3-7H2,1-2H3
",DTXCID307928
60466-73-1,CASRN,DTXSID80886400,"2H-Pyran, tetrahydro-3-(phenylmethyl)-",60466-73-1,RLYSPFPWKAALMR-UHFFFAOYSA-N,C(C1CCCOC1)C1=CC=CC=C1,"InChI=1/C12H16O/c1-2-5-11(6-3-1)9-12-7-4-8-13-10-12/h1-3,5-6,12H,4,7-10H2
",DTXCID001025730
53445-37-7,CASRN,DTXSID20897277,"Hexanedioic acid, 2,​2,​4 (or 2,​4,​4)​-​trimethyl-",53445-37-7,N/A,"C*.CC(CC(C)C(O)=O)CC(O)=O |lp:8:2,9:2,12:2,13:2,m:1:5.3|",N/A,DTXCID801326689
104-83-6,CASRN,DTXSID4051530,4-Chlorobenzyl chloride,104-83-6,JQZAEUFPPSRDOP-UHFFFAOYSA-N,ClCC1=CC=C(Cl)C=C1,"InChI=1S/C7H6Cl2/c8-5-6-1-3-7(9)4-2-6/h1-4H,5H2
",DTXCID5030082
104-94-9,CASRN,DTXSID7024532,4-Methoxybenzenamine,104-94-9,BHAAPTBBJKJZER-UHFFFAOYSA-N,COC1=CC=C(N)C=C1,"InChI=1S/C7H9NO/c1-9-7-4-2-6(8)3-5-7/h2-5H,8H2,1H3
",DTXCID104532
27344-41-8,CASRN,DTXSID6036467,"Disodium 4,4'-bis(2-sulfostyryl)biphenyl",27344-41-8,PMPJQLCPEQFEJW-UHFFFAOYSA-L,[Na+].[Na+].[O-]S(=O)(=O)C1=CC=CC=C1C=CC1=CC=C(C=C1)C1=CC=C(C=CC2=CC=CC=C2S([O-])(=O)=O)C=C1,"InChI=1S/C28H22O6S2.2Na/c29-35(30,31)27-7-3-1-5-25(27)19-13-21-9-15-23(16-10-21)24-17-11-22(12-18-24)14-20-26-6-2-4-8-28(26)36(32,33)34;;/h1-20H,(H,29,30,31)(H,32,33,34);;/q;2*+1/p-2
",DTXCID4016467
553-72-0,CASRN,DTXSID00890504,"Benzoic acid, zinc salt (2:1)",553-72-0,JDLYKQWJXAQNNS-UHFFFAOYSA-L,[Zn++].[O-]C(=O)C1=CC=CC=C1.[O-]C(=O)C1=CC=CC=C1,"InChI=1S/2C7H6O2.Zn/c2*8-7(9)6-4-2-1-3-5-6;/h2*1-5H,(H,8,9);/q;;+2/p-2
",DTXCID101030441
68477-53-2,CASRN,DTXSID8029789,"Distillates, petroleum, steam-cracked, C5-12 fraction",68477-53-2,N/A,N/A,N/A,N/A
111850-24-9,CASRN,DTXSID80888848,"Phenol, 2,6-bis(1-methylpropyl)-4-[2-(4-nitrophenyl)diazenyl]-",111850-24-9,JCYAHFVUGYOYNR-UHFFFAOYSA-N,CCC(C)C1=CC(=CC(C(C)CC)=C1O)N=NC1=CC=C(C=C1)[N+]([O-])=O,"InChI=1/C20H25N3O3/c1-5-13(3)18-11-16(12-19(20(18)24)14(4)6-2)22-21-15-7-9-17(10-8-15)23(25)26/h7-14,24H,5-6H2,1-4H3
",DTXCID601028120
90530-16-8,CASRN,DTXSID301092401,"2-Propenenitrile, reaction products with 1,3-benzenedimethanamine",90530-16-8,N/A,N/A,N/A,N/A
83682-78-4,CASRN,DTXSID20892141,Cocamidopropyl PG-dimonium chloride phosphate,83682-78-4,N/A,N/A,N/A,N/A
8047-15-2,CASRN,DTXSID00109108,Saponins,8047-15-2,N/A,N/A,N/A,N/A
91-08-7,CASRN,DTXSID2026157,"Toluene-2,6-diisocyanate",91-08-7,RUELTTOHQODFPA-UHFFFAOYSA-N,CC1=C(C=CC=C1N=C=O)N=C=O,"InChI=1S/C9H6N2O2/c1-7-8(10-5-12)3-2-4-9(7)11-6-13/h2-4H,1H3
",DTXCID106157
78-84-2,CASRN,DTXSID9021635,2-Methylpropanal,78-84-2,AMIMRNSIRUDHCM-UHFFFAOYSA-N,CC(C)C=O,"InChI=1S/C4H8O/c1-4(2)3-5/h3-4H,1-2H3
",DTXCID201635
75-77-4,CASRN,DTXSID2024822,Chlorotrimethylsilane,75-77-4,IJOOHPMOJXWVHK-UHFFFAOYSA-N,C[Si](C)(C)Cl,"InChI=1S/C3H9ClSi/c1-5(2,3)4/h1-3H3
",DTXCID404822
54041-17-7,CASRN,DTXSID4041571,"Acetamide, N-(4-fluorophenyl)-2-hydroxy-N-(1-methylethyl)-",54041-17-7,RISGISSUGUGJMO-UHFFFAOYSA-N,CC(C)N(C(=O)CO)C1=CC=C(F)C=C1,"InChI=1S/C11H14FNO2/c1-8(2)13(11(15)7-14)10-5-3-9(12)4-6-10/h3-6,8,14H,7H2,1-2H3
",DTXCID2021571
628-68-2,CASRN,DTXSID90879242,"Ethanol, 2,2'-oxybis-, diacetate",628-68-2,UBPGILLNMDGSDS-UHFFFAOYSA-N,CC(=O)OCCOCCOC(C)=O,"InChI=1S/C8H14O5/c1-7(9)12-5-3-11-4-6-13-8(2)10/h3-6H2,1-2H3
",DTXCID401017256
25306-75-6,CASRN,DTXSID00885293,Sodium isobutyl xanthate,25306-75-6,FLVLHHSRQUTOJM-UHFFFAOYSA-M,[Na+].CC(C)COC([S-])=S,"InChI=1S/C5H10OS2.Na/c1-4(2)3-6-5(7)8;/h4H,3H2,1-2H3,(H,7,8);/q;+1/p-1
",DTXCID101024680
611-99-4,CASRN,DTXSID1022425,"4,4'-Dihydoxybenzophenone",611-99-4,RXNYJUSEXLAVNQ-UHFFFAOYSA-N,OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C=C1,"InChI=1S/C13H10O3/c14-11-5-1-9(2-6-11)13(16)10-3-7-12(15)8-4-10/h1-8,14-15H
",DTXCID602425
93164-85-3,CASRN,DTXSID60918637,C20-22-alkyldimethyl amines,93164-85-3,N/A,N/A,N/A,N/A
93571-75-6,CASRN,DTXSID501027331,"Aromatic hydrocarbons, C7-12, C8-rich",93571-75-6,N/A,N/A,N/A,N/A
19372-44-2,CASRN,DTXSID501014817,"2,4-Pentanedione, ion(1-), calcium salt (2:1)",19372-44-2,XVYOQBDTLDXFQL-UHFFFAOYSA-N,[Ca++].CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O,"InChI=1S/2C5H7O2.Ca/c2*1-4(6)3-5(2)7;/h2*3H,1-2H3;/q2*-1;+2
",DTXCID501471584
85049-86-1,CASRN,DTXSID201069744,"Sulfuric acid, mono-C10-12-alkyl esters, sodium salts",85049-86-1,N/A,"[Na+].CCOS([O-])(=O)=O |lp:3:2,5:3,6:2,7:2,Sg:n:2:9-11:ht|","InChI=1S/C2H6O4S.Na/c1-2-6-7(3,4)5;/h2H2,1H3,(H,3,4,5);/q;+1/p-1
",DTXCID401765677
68606-11-1,CASRN,DTXSID0028749,"Gasoline, straight-run, topping-plant",68606-11-1,N/A,N/A,N/A,N/A
95-14-7,CASRN,DTXSID6020147,"1,2,3-Benzotriazole",95-14-7,QRUDEWIWKLJBPS-UHFFFAOYSA-N,N1N=NC2=C1C=CC=C2,"InChI=1S/C6H5N3/c1-2-4-6-5(3-1)7-9-8-6/h1-4H,(H,7,8,9)
",DTXCID00147
85116-96-7,CASRN,DTXSID50894638,"Fatty acids, C10-20-neo-",85116-96-7,N/A,N/A,N/A,N/A
10294-54-9,CASRN,DTXSID10883109,Cesium sulfate,10294-54-9,FLJPGEWQYJVDPF-UHFFFAOYSA-L,[Cs+].[Cs+].[O-]S([O-])(=O)=O,"InChI=1S/2Cs.H2O4S/c;;1-5(2,3)4/h;;(H2,1,2,3,4)/q2*+1;/p-2
",DTXCID801022685
127733-97-5,CASRN,DTXSID501335164,(SP-4-1)-Tetraammine-platinum(2+) acetate (1:2),127733-97-5,RUPTYHWHYQYFFO-UHFFFAOYSA-L,N.N.N.N.[Pt++].CC([O-])=O.CC([O-])=O,"InChI=1S/2C2H4O2.4H3N.Pt/c2*1-2(3)4;;;;;/h2*1H3,(H,3,4);4*1H3;/q;;;;;;+2/p-2
",DTXCID101764882
2009-83-8,CASRN,DTXSID4049240,6-Chlorohexan-1-ol,2009-83-8,JNTPTNNCGDAGEJ-UHFFFAOYSA-N,OCCCCCCCl,"InChI=1S/C6H13ClO/c7-5-3-1-2-4-6-8/h8H,1-6H2
",DTXCID6029096
66422-95-5,CASRN,DTXSID3070462,"Ethanol, 2-(2,4-diaminophenoxy)-, hydrochloride (1:2)",66422-95-5,VXYWXJXCQSDNHX-UHFFFAOYSA-N,Cl.Cl.NC1=CC(N)=C(OCCO)C=C1,"InChI=1S/C8H12N2O2.2ClH/c9-6-1-2-8(7(10)5-6)12-4-3-11;;/h1-2,5,11H,3-4,9-10H2;2*1H
",DTXCID0044812
1333-07-9,CASRN,DTXSID2027389,Toluenesulfonamide,1333-07-9,N/A,"C*.NS(=O)(=O)C1=CC=CC=C1 |c:7,9,t:5,lp:2:1,4:2,5:2,m:1:7.8.9|",N/A,DTXCID101323377
1120-71-4,CASRN,DTXSID8021195,"1,3-Propane sultone",1120-71-4,FSSPGSAQUIYDCN-UHFFFAOYSA-N,O=S1(=O)CCCO1,"InChI=1S/C3H6O3S/c4-7(5)3-1-2-6-7/h1-3H2
",DTXCID001195
87061-04-9,CASRN,DTXSID20868962,"1,2-Propanediol, 3-[[5-methyl-2-(1-methylethyl)cyclohexyl]oxy]-",87061-04-9,MDVYIGJINBYKOM-UHFFFAOYSA-N,CC(C)C1CCC(C)CC1OCC(O)CO,"InChI=1/C13H26O3/c1-9(2)12-5-4-10(3)6-13(12)16-8-11(15)7-14/h9-15H,4-8H2,1-3H3
",DTXCID30218318
88020-55-7,CASRN,DTXSID80107743,"Molybdate (Mo8O264-), hydrogen, compd. with N,N-didodecyl-1-dodecanamine (1:4:4)",88020-55-7,N/A,N/A,N/A,N/A
3090-56-0,CASRN,DTXSID10184906,"Ethanol, 2-(ethenylthio)-",3090-56-0,CJDXLHTYSXHWDC-UHFFFAOYSA-N,OCCSC=C,"InChI=1S/C4H8OS/c1-2-6-4-3-5/h2,5H,1,3-4H2
",DTXCID10107397
1688656-88-3,CASRN,DTXSID901091168,"1H-Pyrazole-5-carboxamide, 4-amino-1-methyl-3-propyl-, hydrochloride (1:?)",1688656-88-3,N/A,N/A,N/A,N/A
14367-46-5,CASRN,DTXSID00931981,N-Ethyl-p-methoxy-alpha-methylphenethylamine,14367-46-5,USBWBBAUWVUJLA-UHFFFAOYSA-N,CCNC(C)CC1=CC=C(OC)C=C1,"InChI=1/C12H19NO/c1-4-13-10(2)9-11-5-7-12(14-3)8-6-11/h5-8,10,13H,4,9H2,1-3H3
",DTXCID001360679
60-93-5,CASRN,DTXSID00975421,(-)-Quinine dihydrochloride,60-93-5,NNKXWRRDHYTHFP-HZQSTTLBSA-N,Cl.Cl.[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=C2C=C(OC)C=CC2=NC=C1,"InChI=1S/C20H24N2O2.2ClH/c1-3-13-12-22-9-7-14(13)10-19(22)20(23)16-6-8-21-18-5-4-15(24-2)11-17(16)18;;/h3-6,8,11,13-14,19-20,23H,1,7,9-10,12H2,2H3;2*1H/t13-,14-,19-,20+;;/m0../s1
",DTXCID101520690
507-09-5,CASRN,DTXSID5060142,Ethanethioic acid,507-09-5,DUYAAUVXQSMXQP-UHFFFAOYSA-N,CC(O)=S,"InChI=1S/C2H4OS/c1-2(3)4/h1H3,(H,3,4)
",DTXCID9040895
13826-83-0,CASRN,DTXSID8065660,Ammonium fluoroborate,13826-83-0,PDTKOBRZPAIMRD-UHFFFAOYSA-O,[NH4+].F[B-](F)(F)F,"InChI=1S/BF4.H3N/c2-1(3,4)5;/h;1H3/q-1;/p+1
",DTXCID5034488
99-87-6,CASRN,DTXSID3026645,p-Cymene,99-87-6,HFPZCAJZSCWRBC-UHFFFAOYSA-N,CC(C)C1=CC=C(C)C=C1,"InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3
",DTXCID006645
3634-83-1,CASRN,DTXSID5038919,"1,3-Bis(isocyanatomethyl)benzene",3634-83-1,RTTZISZSHSCFRH-UHFFFAOYSA-N,O=C=NCC1=CC(CN=C=O)=CC=C1,"InChI=1S/C10H8N2O2/c13-7-11-5-9-2-1-3-10(4-9)6-12-8-14/h1-4H,5-6H2
",DTXCID3018919
69430-40-6,CASRN,DTXSID40103084,"Siloxanes and Silicones, di-Me, Me hydrogen, reaction products with 1,1,1,3,3,3-hexamethyldisiloxane and polypropylene glycol allyl Me ether",69430-40-6,N/A,N/A,N/A,N/A
12392-64-2,CASRN,DTXSID20904273,C.I. Acid Blue 193,12392-64-2,LCZPIYCNOWJWPQ-UHFFFAOYSA-I,[H+].[Na+].[Na+].[Cr+3].[O-]C1=C(N=NC2=C([O-])C=C(C3=C2C=CC=C3)S([O-])(=O)=O)C2=C(C=CC=C2)C=C1.[O-]C1=C(N=NC2=C([O-])C=C(C3=C2C=CC=C3)S([O-])(=O)=O)C2=C(C=CC=C2)C=C1,"InChI=1S/2C20H14N2O5S.Cr.2Na/c2*23-16-10-9-12-5-1-2-6-13(12)19(16)21-22-20-15-8-4-3-7-14(15)18(11-17(20)24)28(25,26)27;;;/h2*1-11,23-24H,(H,25,26,27);;;/q;;+3;2*+1/p-5
",DTXCID901333477
21850-44-2,CASRN,DTXSID3032129,"Tetrabromobisphenol A-bis(2,3-dibromopropyl ether)",21850-44-2,LXIZRZRTWSDLKK-UHFFFAOYSA-N,CC(C)(C1=CC(Br)=C(OCC(Br)CBr)C(Br)=C1)C1=CC(Br)=C(OCC(Br)CBr)C(Br)=C1,"InChI=1/C21H20Br8O2/c1-21(2,11-3-15(26)19(16(27)4-11)30-9-13(24)7-22)12-5-17(28)20(18(29)6-12)31-10-14(25)8-23/h3-6,13-14H,7-10H2,1-2H3
",DTXCID1012129
17360-11-1,CASRN,DTXSID70879760,"3,5-dinitro-L-tyrosine",17360-11-1,SAZOSDSFLRXREA-YFKPBYRVSA-N,N[C@@H](CC1=CC(=C(O)C(=C1)N(=O)=O)N(=O)=O)C(O)=O,"InChI=1S/C9H9N3O7/c10-5(9(14)15)1-4-2-6(11(16)17)8(13)7(3-4)12(18)19/h2-3,5,13H,1,10H2,(H,14,15)/t5-/m0/s1
",DTXCID201017767
108-48-5,CASRN,DTXSID7051557,"2,6-Dimethylpyridine",108-48-5,OISVCGZHLKNMSJ-UHFFFAOYSA-N,CC1=CC=CC(C)=N1,"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3
",DTXCID1030109
97-90-5,CASRN,DTXSID1026615,Ethylene glycol dimethacrylate,97-90-5,STVZJERGLQHEKB-UHFFFAOYSA-N,CC(=C)C(=O)OCCOC(=O)C(C)=C,"InChI=1S/C10H14O4/c1-7(2)9(11)13-5-6-14-10(12)8(3)4/h1,3,5-6H2,2,4H3
",DTXCID106615
12207-63-5,CASRN,DTXSID501035748,Ammonium vanadium oxide ((NH4)V3O8),12207-63-5,N/A,N/A,N/A,N/A
